iter	Logloss
0	0.6368684875
1	0.6104588559
2	0.5870477413
3	0.5663014053
4	0.5483428584
5	0.51566727
6	0.4904482518
7	0.4603130016
8	0.4292111439
9	0.4216971218
10	0.3956655935
11	0.3760663751
12	0.3625175486
13	0.3533761773
14	0.3366746988
15	0.3328815074
16	0.3252222696
17	0.3218009977
18	0.3143414435
19	0.3096171908
20	0.3072965019
21	0.3034843985
22	0.2951849273
23	0.2894554398
24	0.2852813903
25	0.2848484257
26	0.2832112519
27	0.2787412096
28	0.2737815603
29	0.2735119035
30	0.2732074714
31	0.2720190736
32	0.2686959695
33	0.2675132997
34	0.2672683966
35	0.2631505041
36	0.2618611182
37	0.2579287195
38	0.2558837043
39	0.2529534057
40	0.2514306292
41	0.2499324187
42	0.2497082934
43	0.2477066096
44	0.2441574167
45	0.2435833525
46	0.2423085853
47	0.2411683996
48	0.2396703379
49	0.2390712231
50	0.2381437896
51	0.2369326358
52	0.2355216183
53	0.2335011824
54	0.2326971231
55	0.2307179914
56	0.2305461919
57	0.22969295
58	0.2295385502
59	0.2279781584
60	0.2278233951
61	0.2270803165
62	0.2268066689
63	0.2266691891
64	0.2265571473
65	0.2262118412
66	0.2261029266
67	0.225489594
68	0.2252221267
69	0.2248508167
70	0.2247670047
71	0.224235248
72	0.2241647925
73	0.2238229545
74	0.2229715228
75	0.2225752294
76	0.2219515417
77	0.2218857133
78	0.2218346838
79	0.2215503374
80	0.2214953492
81	0.2211746547
82	0.2211318345
83	0.2202596876
84	0.2202098055
85	0.2197007269
86	0.219183496
87	0.2188024003
88	0.2187672582
89	0.2184755648
90	0.218437466
91	0.2184041347
92	0.2179808196
93	0.2179467107
94	0.2178055045
95	0.2177742271
96	0.2177376689
97	0.217716573
98	0.2175016107
99	0.217466194
100	0.2170521444
101	0.2167400185
102	0.2163842757
103	0.2163610279
104	0.2162878425
105	0.2162703649
106	0.2162402607
107	0.2160958009
108	0.2160792708
109	0.2158884496
110	0.2158467517
111	0.2157071031
112	0.2156787206
113	0.2155171332
114	0.2154648068
115	0.2154480019
116	0.2154299416
117	0.2152971443
118	0.2152797188
119	0.2152543782
120	0.2150044162
121	0.2147667493
122	0.2147464366
123	0.2147315975
124	0.2143563753
125	0.2143351024
126	0.2141803814
127	0.214123075
128	0.2140958639
129	0.2139414363
130	0.2139305343
131	0.2139187872
132	0.2139015241
133	0.2138899095
134	0.2138734841
135	0.2138085781
136	0.2136217063
137	0.2136091635
138	0.2134742474
139	0.2133330723
140	0.21331834
141	0.213306341
142	0.213295491
143	0.2132838787
144	0.2132677696
145	0.2132563467
146	0.2132454815
147	0.2132236098
148	0.2130801847
149	0.2130396352
150	0.2130098254
151	0.2129896955
152	0.2129740162
153	0.2129553578
154	0.2129436158
155	0.2127984051
156	0.2127860556
157	0.2127695747
158	0.2127584531
159	0.212750971
160	0.212733661
161	0.2126050769
162	0.2125908196
163	0.2125773914
164	0.2124674815
165	0.2124571402
166	0.2123120529
167	0.2122929061
168	0.212283658
169	0.2122677696
170	0.212250321
171	0.2122317546
172	0.2122210591
173	0.2122015769
174	0.2121908595
175	0.212043289
176	0.2120249234
177	0.2120139117
178	0.212000975
179	0.2117863844
180	0.2116423226
181	0.211585002
182	0.2115667838
183	0.2115421535
184	0.2115264463
185	0.2115098947
186	0.2114900893
187	0.2114800109
188	0.2114695282
189	0.2114514799
190	0.2114409964
191	0.2114300952
192	0.2114204804
193	0.2114073605
194	0.2113293395
195	0.2113209249
196	0.2113087578
197	0.2112975334
198	0.2112736373
199	0.2112545817
200	0.2112442609
201	0.2112316581
202	0.2111046189
203	0.2110898135
204	0.2110755665
205	0.2110428085
206	0.2109175014
207	0.2108855686
208	0.2108744325
209	0.2108640933
210	0.2108327009
211	0.2108228491
212	0.2108075033
213	0.2107987128
214	0.2107859685
215	0.2107785893
216	0.2107650504
217	0.2107478765
218	0.2107396124
219	0.2107281571
220	0.2107168268
221	0.2107007135
222	0.2106917446
223	0.2106740714
224	0.2106569763
225	0.2106444225
226	0.2106249644
227	0.2106112053
228	0.2105998427
229	0.2105884455
230	0.2105437535
231	0.2105252861
232	0.2102249375
233	0.2101098863
234	0.210101809
235	0.2100900421
236	0.2100787865
237	0.2100608068
238	0.2100534361
239	0.209945759
240	0.2098669442
241	0.2097192574
242	0.2097101301
243	0.2096950157
244	0.2095347959
245	0.2095195576
246	0.2095065535
247	0.2094925472
248	0.2094751342
249	0.2094533722
250	0.2092657655
251	0.2092472183
252	0.2092272566
253	0.2092140853
254	0.2091923448
255	0.2091285325
256	0.2091101794
257	0.2090951264
258	0.2090716855
259	0.2090587717
260	0.2089735152
261	0.2089573612
262	0.2087428074
263	0.2087291957
264	0.2087151002
265	0.2087018116
266	0.2086775006
267	0.2084936459
268	0.2084730611
269	0.2084603761
270	0.2084432972
271	0.208284103
272	0.2082631373
273	0.2080976768
274	0.2080766816
275	0.2080603183
276	0.2080435096
277	0.2080252598
278	0.2079115449
279	0.2078883479
280	0.2077847795
281	0.2077643568
282	0.2076659215
283	0.2076474468
284	0.2076276712
285	0.2075382195
286	0.207516526
287	0.2074957738
288	0.2074736041
289	0.2073636357
290	0.2073131801
291	0.2072883769
292	0.2072687041
293	0.2071530078
294	0.2070353038
295	0.2070174394
296	0.2070009968
297	0.2068981969
298	0.2065433243
299	0.2065265757
