iter	Passed	Remaining
0	538	161146
1	939	139931
2	1279	126652
3	1612	119288
4	1963	115862
5	2333	114322
6	2680	112189
7	3105	113361
8	3497	113086
9	3841	111400
10	4262	111976
11	4637	111296
12	5034	111146
13	5378	109870
14	5816	110504
15	6181	109724
16	6535	108792
17	6881	107814
18	7291	107840
19	7644	107019
20	8104	107672
21	8714	110116
22	9509	114525
23	10177	117039
24	10923	120155
25	11610	122357
26	12202	123378
27	12587	122274
28	12964	121151
29	13301	119715
30	13657	118510
31	14001	117263
32	14374	116299
33	14732	115256
34	15074	114133
35	15498	113654
36	15869	112802
37	16265	112145
38	16687	111680
39	17065	110923
40	17424	110074
41	17813	109427
42	18153	108501
43	18533	107831
44	19012	107735
45	19352	106860
46	19713	106118
47	20142	105749
48	20563	105335
49	20947	104739
50	21301	103999
51	21666	103330
52	22069	102851
53	22695	103389
54	23378	104140
55	24303	105893
56	24978	106489
57	25638	106974
58	26313	107483
59	26911	107645
60	27271	106852
61	27695	106315
62	28062	105566
63	28413	104776
64	28775	104035
65	29150	103353
66	29514	102639
67	29882	101952
68	30232	101212
69	30602	100552
70	30955	99841
71	31321	99184
72	31680	98513
73	32037	97844
74	32468	97405
75	32860	96852
76	33229	96235
77	33573	95554
78	33935	94934
79	34294	94309
80	34631	93632
81	35028	93123
82	35359	92444
83	35755	91943
84	36142	91419
85	36507	90843
86	37031	90664
87	37772	90997
88	38401	91042
89	38988	90972
90	39708	91198
91	40401	91341
92	41080	91436
93	41569	91099
94	41950	90525
95	42320	89930
96	42675	89310
97	43016	88667
98	43416	88149
99	43761	87523
100	44194	87077
101	44579	86535
102	44928	85932
103	45296	85366
104	45696	84864
105	46033	84249
106	46413	83718
107	46777	83159
108	47127	82582
109	47481	82014
110	47875	81518
111	48215	80933
112	48563	80366
113	48978	79912
114	49316	79335
115	49666	78781
116	50043	78272
117	50389	77719
118	50743	77180
119	51136	76704
120	51599	76332
121	52423	76486
122	53072	76373
123	53762	76308
124	54719	76607
125	55430	76547
126	56030	76325
127	56395	75780
128	56769	75252
129	57131	74710
130	57504	74185
131	57849	73626
132	58203	73083
133	58557	72540
134	58898	71986
135	59291	71498
136	59673	70998
137	60023	70461
138	60381	69938
139	60744	69422
140	61083	68881
141	61422	68343
142	61781	67829
143	62157	67337
144	62520	66832
145	62884	66330
146	63245	65826
147	63609	65328
148	63979	64838
149	64333	64333
150	64703	63846
151	65085	63372
152	65483	62915
153	65882	62460
154	66357	62076
155	67032	61875
156	67643	61611
157	68343	61422
158	69031	61216
159	69630	60926
160	70253	60653
161	70737	60257
162	71089	59750
163	71461	59260
164	71808	58752
165	72137	58231
166	72527	57761
167	72881	57264
168	73228	56762
169	73647	56318
170	74038	55853
171	74453	55407
172	74784	54899
173	75164	54429
174	75612	54009
175	75969	53524
176	76331	53044
177	76713	52578
178	77053	52086
179	77430	51620
180	77801	51151
181	78183	50690
182	78626	50269
183	79252	49963
184	79947	49697
185	80687	49453
186	81402	49190
187	82125	48925
188	82862	48665
189	83628	48416
190	84321	48120
191	85107	47872
192	85814	47575
193	86452	47237
194	87019	46856
195	87354	46351
196	87738	45873
197	88087	45378
198	88449	44891
199	88867	44433
200	89199	43933
201	89558	43448
202	89940	42976
203	90319	42503
204	90681	42023
205	91057	41550
206	91419	41072
207	91757	40585
208	92161	40127
209	92493	39640
210	92838	39159
211	93211	38691
212	93585	38224
213	93949	37755
214	94306	37284
215	94639	36804
216	95041	36352
217	95412	35889
218	95771	35422
219	96151	34964
220	96489	34491
221	96922	34053
222	97592	33697
223	98327	33361
224	99007	33002
225	99688	32641
226	100466	32308
227	101039	31907
228	101521	31476
229	101871	31004
230	102227	30535
231	102625	30079
232	103001	29618
233	103341	29147
234	103705	28684
235	104065	28221
236	104402	27752
237	104791	27298
238	105127	26831
239	105469	26367
240	105863	25916
241	106217	25456
242	106578	24999
243	106959	24547
244	107314	24091
245	107683	23637
246	108048	23184
247	108411	22731
248	108815	22287
249	109197	21839
250	109578	21391
251	110026	20957
252	110431	20515
253	110780	20062
254	111169	19618
255	111761	19208
256	112482	18819
257	113158	18421
258	113803	18015
259	114469	17610
260	115177	17210
261	115839	16801
262	116184	16345
263	116566	15895
264	116906	15440
265	117254	14987
266	117650	14541
267	117994	14088
268	118361	13640
269	118731	13192
270	119110	12746
271	119446	12296
272	119826	11851
273	120179	11403
274	120550	10959
275	120912	10514
276	121280	10070
277	121624	9624
278	122014	9183
279	122524	8751
280	122936	8312
281	123292	7869
282	123652	7427
283	124060	6989
284	124443	6549
285	124816	6109
286	125197	5670
287	125607	5233
288	126130	4800
289	126842	4373
290	127576	3945
291	128342	3516
292	129001	3081
293	129719	2647
294	130319	2208
295	130686	1766
296	131040	1323
297	131390	881
298	131824	440
299	132157	0
